"X25909.2.0",0.730943891120152
"X25915.2.0",0.516761873508959
"X25880.2.0",0.443832380886885
"X25853.2.0",0.369207077753142
"X25908.2.0",0.258581052767742
"X25914.2.0",0.256626115134771
"X25784.2.0",0.254135846301666
"X25842.2.0",0.251816617140209
"X25868.2.0",0.246661176437262
"X25827.2.0",0.220551753133712
"X25844.2.0",0.211102838121156
"X25811.2.0",0.203974006895233
"X25832.2.0",0.189733061107896
"X25903.2.0",0.186578348579101
"X25884.2.0",0.173884174808157
"X25782.2.0",0.173135492995247
"X25815.2.0",0.170440240112289
"X25919.2.0",0.169924222032061
"X25877.2.0",0.169274436376564
"X25916.2.0",0.168793223196738
"X25859.2.0",0.16788697473631
"X25831.2.0",0.162369281386572
"X25786.2.0",0.161049602757472
"X25893.2.0",0.157158073378424
"X25793.2.0",0.15548095130224
"X25792.2.0",0.146562501306591
"X25887.2.0",0.130710950986758
"X25807.2.0",0.128994479121538
"X25875.2.0",0.126636323817064
"X25799.2.0",0.125557745069866
"X25847.2.0",0.124795947895661
"X25890.2.0",0.121578162381338
"X25823.2.0",0.121517201547843
"X25897.2.0",0.11647691319905
"X25898.2.0",0.0936706932039535
"X25878.2.0",0.0936119948727058
"X25819.2.0",0.0926394182080017
"X25789.2.0",0.0903701891007095
"X25840.2.0",0.0855739243835751
"X25829.2.0",0.0829803533709564
"X25837.2.0",0.0819973026339074
"X25854.2.0",0.081130873766696
"X25848.2.0",0.0798905630310721
"X25801.2.0",0.0781895755559983
"X25851.2.0",0.0657886476212178
"X25918.2.0",0.0656731481360684
"X25839.2.0",0.0651861352787914
"X25834.2.0",0.0572810307942189
"X25861.2.0",0.0570215346769324
"X25802.2.0",0.0554248178811981
"X25882.2.0",0.0538398240762075
"X25862.2.0",0.0538039794361724
"X25816.2.0",0.0497766471231052
"X25817.2.0",0.0463933357261173
"X25849.2.0",0.0432818520382353
"X25805.2.0",0.0417540285301342
"X25899.2.0",0.0368852199205727
"X25791.2.0",0.0354278851084306
"X25896.2.0",0.0334178974261686
"X25866.2.0",0.0219764082661134
"X25905.2.0",0.0158120880859712
"X25785.2.0",0.0158019861562831
"X25863.2.0",0.0157253472602926
"X25800.2.0",0.0137542103490233
"X25846.2.0",0.0104351663212265
"X25794.2.0",0.00980725018062811
"X25803.2.0",-0.00252747520499915
"X25867.2.0",-0.00537183513840575
"X25818.2.0",-0.0101019926147071
"X25907.2.0",-0.0165805927966936
"X25891.2.0",-0.0177116633341344
"X25872.2.0",-0.0186613002654866
"X25787.2.0",-0.0191529360125244
"X25920.2.0",-0.0205061841211433
"X25858.2.0",-0.0290132241706319
"X25857.2.0",-0.0352310001727334
"X25809.2.0",-0.0376693389229883
"X25841.2.0",-0.0382324318037051
"X25808.2.0",-0.0389264094481137
"X25856.2.0",-0.0393142604661146
"X25806.2.0",-0.0406654651509218
"X25788.2.0",-0.0408928089969678
"X25901.2.0",-0.0410857086522413
"X25888.2.0",-0.0445425187037199
"X25913.2.0",-0.0458649544964691
"X25833.2.0",-0.0471564008108337
"X25783.2.0",-0.0475122117128911
"X25900.2.0",-0.0478119826273688
"X25873.2.0",-0.0489392185265369
"X25895.2.0",-0.0503338681430934
"X25855.2.0",-0.0515359195096285
"X25804.2.0",-0.0564990738974513
"X25845.2.0",-0.0572849329523791
"X25838.2.0",-0.0611675795912186
"X25879.2.0",-0.0697920915819863
"X25910.2.0",-0.0731402073916661
"X25889.2.0",-0.0739630638258232
"X25904.2.0",-0.0744782969877681
"X25835.2.0",-0.0756776115848733
"X25902.2.0",-0.0771284802365858
"X25885.2.0",-0.0817434974273075
"X25797.2.0",-0.0853412434167989
"X25864.2.0",-0.0865198852383864
"X25795.2.0",-0.0879875861343467
"X25852.2.0",-0.0927499225173916
"X25812.2.0",-0.104529432042081
"X25850.2.0",-0.104599172668947
"X25865.2.0",-0.106232270703842
"X25830.2.0",-0.106440633063738
"X25822.2.0",-0.121174531764075
"X25836.2.0",-0.123755987723556
"X25796.2.0",-0.124935662707066
"X25813.2.0",-0.12580111110831
"X25820.2.0",-0.13152622031955
"X25894.2.0",-0.133300029332807
"X25798.2.0",-0.136320169657297
"X25860.2.0",-0.149488307708229
"X25874.2.0",-0.151549642685943
"X25826.2.0",-0.155334524142613
"X25886.2.0",-0.156770576086437
"X25810.2.0",-0.187943319422023
"X25824.2.0",-0.196520767752763
"X25814.2.0",-0.200129700214659
"X25828.2.0",-0.202011077312472
"X25881.2.0",-0.202625393324862
"X25876.2.0",-0.207957379716388
"X25821.2.0",-0.212694274490817
"X25790.2.0",-0.232984584305133
"X25843.2.0",-0.245494987734445
"X25892.2.0",-0.275287104265409
"X25883.2.0",-0.311871818519244
"X25825.2.0",-0.32810803227318
"X25869.2.0",-0.332871202444624
"X25912.2.0",-0.35805354656413
"X25917.2.0",-0.376518670973376
"X25911.2.0",-0.540717219496543
"X25906.2.0",-0.565808944125467
